ABOs,Original P4 CTS URN,Perseus Abbreviation,Language,Perseus text ID,Authors,Work,"Other Abbreviations (LSJ, OCD, etc)",Notes
"Perseus:abo:tlg,0003,001",urn:cts:greekLit:tlg0001.tlg001.perseus-grc1,A. R,Greek,Perseus:text:1999.01.0227,Apollonius Rhodius,Argonautica,A.R.,
"Perseus:abo:tlg,0003,001",urn:cts:greekLit:tlg0003.tlg001.perseus-eng1,Thuc.,English,Perseus:text:1999.01.0247,Thucydides,History of the Peloponnesian War,Th.,
"Perseus:abo:tlg,0003,001",urn:cts:greekLit:tlg0003.tlg001.perseus-eng2,Thuc.,English,Perseus:text:1999.04.0105,Thucydides,History of the Peloponnesian War,Th.,
"Perseus:abo:tlg,0003,001",urn:cts:greekLit:tlg0003.tlg001.perseus-eng3,Thuc.,English,Perseus:text:1999.01.0200,Thucydides,The Peloponnesian War,Th.,
"Perseus:abo:tlg,0003,001",urn:cts:greekLit:tlg0003.tlg001.perseus-grc1,Thuc.,Greek,Perseus:text:1999.01.0199,Thucydides,De bello Peloponnesiaco ,Th.,
"Perseus:abo:tlg,0004,001",urn:cts:greekLit:tlg0004.tlg001.perseus-eng1,D. L.,English,Perseus:text:1999.01.0258,Diogenes Laertius,Lives of Eminent Philosophers,Diog. Laert.,
"Perseus:abo:tlg,0004,001",urn:cts:greekLit:tlg0004.tlg001.perseus-grc1,D. L.,Greek,Perseus:text:1999.01.0257,Diogenes Laertius,Vitae Philosophorum,Diog. Laert.,
"Perseus:abo:tlg,0005,001",urn:cts:greekLit:tlg0005.tlg001.perseus-grc1,Theoc. Id.,Greek,Perseus:text:1999.01.0228:text=Id.,Theocritus,Idyllia,Theoc.Beren.,
"Perseus:abo:tlg,0005,002",urn:cts:greekLit:tlg0005.tlg002.perseus-grc1,Theoc. Ep.,Greek,Perseus:text:1999.01.0228:text=Ep.,Theocritus,Epigrammata,Theoc.Ep.,
"Perseus:abo:tlg,0006,001",urn:cts:greekLit:tlg0006.tlg001.perseus-eng1,Eur. Cycl.,English,Perseus:text:1999.01.0094,Euripides,Cyclops,E.Cyc.,
"Perseus:abo:tlg,0006,001",urn:cts:greekLit:tlg0006.tlg001.perseus-grc1,Eur. Cycl.,Greek,Perseus:text:1999.01.0093,Euripides,Cyclops,E.Cyc.,
"Perseus:abo:tlg,0006,002",urn:cts:greekLit:tlg0006.tlg002.perseus-eng1,Eur. Alc.,English,Perseus:text:1999.01.0088,Euripides,Alcestis,E.Alc.,
"Perseus:abo:tlg,0006,002",urn:cts:greekLit:tlg0006.tlg002.perseus-grc1,Eur. Alc.,Greek,Perseus:text:1999.01.0087,Euripides,Alcestis,E.Alc.,
"Perseus:abo:tlg,0006,003",urn:cts:greekLit:tlg0006.tlg003.perseus-eng1,Eur. Med.,English,Perseus:text:1999.01.0114,Euripides,Medea,E.Med.,
"Perseus:abo:tlg,0006,003",urn:cts:greekLit:tlg0006.tlg003.perseus-grc1,Eur. Med.,Greek,Perseus:text:1999.01.0113,Euripides,Medea,E.Med.,
"Perseus:abo:tlg,0006,004",urn:cts:greekLit:tlg0006.tlg004.perseus-eng1,Eur. Heraclid.,English,Perseus:text:1999.01.0104,Euripides,Heracleidae,E.Heracl.,
"Perseus:abo:tlg,0006,004",urn:cts:greekLit:tlg0006.tlg004.perseus-grc1,Eur. Heraclid.,Greek,Perseus:text:1999.01.0103,Euripides,Heracleidae,E.Heracl.,
"Perseus:abo:tlg,0006,005",urn:cts:greekLit:tlg0006.tlg005.perseus-eng1,Eur. Hipp.,English,Perseus:text:1999.01.0106,Euripides,Hippolytus,E.Hipp.,
"Perseus:abo:tlg,0006,005",urn:cts:greekLit:tlg0006.tlg005.perseus-grc1,Eur. Hipp.,Greek,Perseus:text:1999.01.0105,Euripides,Hippolytus,E.Hipp.,
